date,rank,song,artist
1/1/2023,1,All I Want For Christmas Is You,Mariah Carey
1/1/2023,2,Rockin' Around The Christmas Tree,Brenda Lee
1/1/2023,3,Jingle Bell Rock,Bobby Helms
1/1/2023,4,Last Christmas,Wham!
1/1/2023,5,A Holly Jolly Christmas,Burl Ives
1/1/2023,6,It's The Most Wonderful Time Of The Year,Andy Williams
1/1/2023,7,Feliz Navidad,Jose Feliciano
1/1/2023,8,Anti-Hero,Taylor Swift
1/1/2023,9,The Christmas Song (Merry Christmas To You),Nat "King" Cole
1/1/2023,10,Unholy,Sam Smith & Kim Petras
1/1/2023,11,Kill Bill,SZA
1/1/2023,12,Santa Tell Me,Ariana Grande
1/1/2023,13,Sleigh Ride,The Ronettes
1/1/2023,14,Underneath The Tree,Kelly Clarkson
1/1/2023,15,Christmas (Baby Please Come Home),Darlene Love
1/1/2023,16,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
1/1/2023,17,Deck The Halls,Nat King Cole
1/1/2023,18,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin
1/1/2023,19,I'm Good (Blue),David Guetta & Bebe Rexha
1/1/2023,20,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins
1/1/2023,21,Rich Flex,Drake & 21 Savage
1/1/2023,22,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
1/1/2023,23,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
1/1/2023,24,Blue Christmas,Elvis Presley
1/1/2023,25,It's Beginning To Look A Lot Like Christmas,Michael Buble
1/1/2023,26,Die For You,The Weeknd & Ariana Grande
1/1/2023,27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
1/1/2023,28,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
1/1/2023,29,Little Saint Nick,The Beach Boys
1/1/2023,30,Bad Habit,Steve Lacy
1/1/2023,31,As It Was,Harry Styles
1/1/2023,32,Run Rudolph Run,Chuck Berry
1/1/2023,33,Wonderful Christmastime,Paul McCartney
1/1/2023,34,Santa Claus Is Comin' To Town,Jackson 5
1/1/2023,35,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
1/1/2023,36,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
1/1/2023,37,This Christmas,Donny Hathaway
1/1/2023,38,Cuff It,Beyonce
1/1/2023,39,Under The Influence,Chris Brown
1/1/2023,40,Happy Holiday / The Holiday Season,Andy Williams
1/1/2023,41,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra
1/1/2023,42,Something In The Orange,Zach Bryan
1/1/2023,43,Please Come Home For Christmas,Eagles
1/1/2023,44,Merry Christmas,Ed Sheeran & Elton John
1/1/2023,45,Made You Look,Meghan Trainor
1/1/2023,46,You Proof,Morgan Wallen
1/1/2023,47,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir
1/1/2023,48,Have Yourself A Merry Little Christmas,Michael Buble
1/1/2023,49,Golden Hour,JVKE
1/1/2023,50,Christmastime Is Here,Vince Guaraldi Trio
1/1/2023,51,Super Freaky Girl,Nicki Minaj
1/1/2023,52,Shirt,SZA
1/1/2023,53,Just Wanna Rock,Lil Uzi Vert
1/1/2023,54,Tomorrow 2,GloRilla & Cardi B
1/1/2023,55,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
1/1/2023,56,Thank God,Kane Brown With Katelyn Brown
1/1/2023,57,Lift Me Up,Rihanna
1/1/2023,58,Until I Found You,Stephen Sanchez
1/1/2023,59,Nobody Gets Me,SZA
1/1/2023,60,Someday At Christmas,Lizzo
1/1/2023,61,Rock And A Hard Place,Bailey Zimmerman
1/1/2023,62,Gato de Noche,Nengo Flow & Bad Bunny
1/1/2023,63,Victoria's Secret,Jax
1/1/2023,64,Lavender Haze,Taylor Swift
1/1/2023,65,Low,SZA
1/1/2023,66,Son Of A Sinner,Jelly Roll
1/1/2023,67,Blind,SZA
1/1/2023,68,What My World Spins Around,Jordan Davis
1/1/2023,69,Wait In The Truck,HARDY Featuring Lainey Wilson
1/1/2023,70,"Going, Going, Gone",Luke Combs
1/1/2023,71,Heart Like A Truck,Lainey Wilson
1/1/2023,72,Last Christmas,Lauren Spencer Smith
1/1/2023,73,Blue Christmas,Kane Brown
1/1/2023,74,Snooze,SZA
1/1/2023,75,Escapism,RAYE Featuring 070 Shake
1/1/2023,76,"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande
1/1/2023,77,Love Language,SZA
1/1/2023,78,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
1/1/2023,79,Calm Down,Rema & Selena Gomez
1/1/2023,80,Whiskey On You,Nate Smith
1/1/2023,81,Seek & Destroy,SZA
1/1/2023,82,Hold Me Closer,Elton John & Britney Spears
1/1/2023,83,Que Vuelvas,Carin Leon X Grupo Frontera
1/1/2023,84,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
1/1/2023,85,Spin Bout U,Drake & 21 Savage
1/1/2023,86,Used,SZA Featuring Don Toliver
1/1/2023,87,Romantic Homicide,d4vd
1/1/2023,88,Circo Loco,Drake & 21 Savage
1/1/2023,89,Ghost In The Machine,SZA Featuring Phoebe Bridgers
1/1/2023,90,Down Home,Jimmie Allen
1/1/2023,91,Bebe Dame,Fuerza Regida X Grupo Frontera
1/1/2023,92,Special,SZA
1/1/2023,93,No Se Va,Grupo Frontera
1/1/2023,94,Kid On Christmas,Pentatonix Featuring Meghan Trainor
1/1/2023,95,One Thing At A Time,Morgan Wallen
1/1/2023,96,Pick Me Up,Gabby Barrett
1/1/2023,97,SOS,SZA
1/1/2023,98,Forget Me,Lewis Capaldi
1/1/2023,99,La Jumpa,Arcangel & Bad Bunny
1/1/2023,100,Gone Girl,SZA
1/8/2023,1,Anti-Hero,Taylor Swift
1/8/2023,2,Unholy,Sam Smith & Kim Petras
1/8/2023,3,Kill Bill,SZA
1/8/2023,4,I'm Good (Blue),David Guetta & Bebe Rexha
1/8/2023,5,Rich Flex,Drake & 21 Savage
1/8/2023,6,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
1/8/2023,7,As It Was,Harry Styles
1/8/2023,8,Die For You,The Weeknd & Ariana Grande
1/8/2023,9,Bad Habit,Steve Lacy
1/8/2023,10,Cuff It,Beyonce
1/8/2023,11,Something In The Orange,Zach Bryan
1/8/2023,12,Made You Look,Meghan Trainor
